Cartpole performance test with 60 cores

MaxTicks: 750

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,178,284,227,589,210,525,893,147,669,1072,335,419,722,692,592,513,567,1523,682,412,307,336,1595,1317,257,454,1072,1248,713,1146,900
,556,591,732,462,514,889,529,552,652,411,618,515,341,868,1042,247,481,411,1108,709,967,605,500,2109,452,884,327,723,524,654,399
,534,793,880,285,719,1115,532,624,508,588,469,218,1136,853,289,604,907,316,491,673,308,874,685,1117,776,317,474,421,961,816,850
,773,235,570,556,419,733,395,389,1014,575,992,930,676,482,394,935,924,672,718,338,669,498,278,440,691,560,809,550,466,529,1332
,978,554,728,287,466,583,967,686,731,410,455,1112,628,688,618,538,559,391,602,430,815,352,1496,684,1273,1483,286,639,522,1154,633
,588,899,575,394,599,779,569,601,535,278,667,1112,1124,1046,559,853,443,683,414,1009,554,317,846,1114,1108,774,799,686,816,779,449
,877,1008,282,469,1379,509,219,238,572,955,1172,454,569,579,322,360,542,609,1236,543,771,442,281,748,540,940,773,852,1244,732,1293
,427,722,694,748,660,535,429,691,188,470,866,515,1272,734,984,916,824,702,1267,700,1008,869,750,1281,798,517,449,410,589,691,766
,152,915,610,254,629,550,646,433,601,405,767,402,449,199,665,683,638,379,944,518,539,862,536,369,436,361,686,1399,568,713,446
,234,446,358,646,419,892,1111,727,1179,414,892,906,470,1110,494,516,890,745,595,545,874,724,448,823,491,853,833,884,907,722,838
Average (total episodes),529.7,644.7,565.6,469.0,601.4,711.0,629.0,508.8,664.9,557.8,723.3,658.3,738.7,725.1,595.9,616.5,677.5,643.1,805.7,587.7,681.2,587.9,741.5,1000.2,682.2,714.3,650.8,781.2,731.0,793.6,790.6
SD (total episodes),288.53,267.96,213.35,166.67,310.63,205.87,279.37,200.05,273.33,257.51,263.72,324.29,324.94,268.26,253.12,231.17,188.51,347.34,310.88,194.04,251.10,230.14,462.54,510.17,316.90,350.65,254.66,328.10,249.02,202.82,329.56
Speed-ups,1,0.82,0.94,1.13,0.88,0.75,0.84,1.04,0.80,0.95,0.73,0.80,0.72,0.73,0.89,0.86,0.78,0.82,0.66,0.90,0.78,0.90,0.71,0.53,0.78,0.74,0.81,0.68,0.72,0.67,0.67
Average (total episodes) / numAgents,529.7,322.35,141.40,78.17,75.18,71.10,52.42,36.34,41.56,30.99,36.17,29.92,30.78,27.89,21.28,20.55,21.17,18.91,22.38,15.47,17.03,14.00,16.85,21.74,14.21,14.29,12.52,14.47,13.05,13.68,13.18
Speed-ups * numAgents,1,1.64,3.75,6.78,7.05,7.45,10.11,14.58,12.75,17.09,14.65,17.70,17.21,18.99,24.89,25.78,25.02,28.00,23.67,34.25,31.10,37.84,31.43,24.36,37.27,37.08,42.32,36.62,40.58,38.71,40.20

Learning Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,18166367,43838413,19569128,35269317,21260142,83269996,164868138,17050040,188409071,333809898,102213163,148619146,270639431,289382603,216626859,249346146,364384099,866168097,367258405,159900991,115030654,171213648,1110822028,924730365,78302218,220433001,764267448,898690189,449598285,928711534,693728762
,30804103,58632947,40955633,30291068,58380762,121360734,104473890,89664085,163774123,110076371,186542574,188368239,124678104,347986236,520207018,94616371,179473804,125516661,610614872,389541017,607861451,401641029,242875697,1792109562,220985975,692891453,112990056,410119390,318600384,390123628,223134386
,17486640,77340144,43532097,18161430,83016430,172107055,96870725,97352876,140745979,174016531,133947994,75856078,465904288,362522611,124305354,352455933,427970587,113865348,210669929,427600509,116518925,540498961,410116136,800480425,576855313,135415835,220002788,185993168,821204532,695272890,716571235
,23338430,7990298,24142201,36763122,47157914,113430345,65197858,74296310,326975273,176976121,349239167,367555121,258142377,245862409,147223187,446551139,471410644,372041040,366874299,130216469,383080025,282660317,118958839,278357677,464210486,288771579,608161091,257911598,273724195,440097963,1261694784
,29296958,45519889,24755301,18883319,45286588,84477914,163595044,114625970,226981419,116045378,129325853,437670694,270774510,287361226,297640003,227251110,277309669,153142522,378391658,184809888,510641410,151094376,1021457236,308349723,937486630,1205699979,132938987,325550708,292315479,945887553,385047183
,10833376,80565971,19349860,28549489,66045258,124088571,97183472,99843518,129499872,72925543,185400722,461124477,520891666,421989509,264056150,416043353,231305865,285978973,202415887,612236676,304119535,152784318,536966519,807119509,828727587,836734907,746530374,370167498,800617101,571954445,273821530
,14851848,25731811,8962638,32706441,153142719,106186968,26340477,31241332,133687273,266054228,465989107,139398491,206833173,204205048,98452976,121015560,255367702,436203864,756028569,310263080,544275192,232067990,78842088,463369342,285223511,703076833,461603629,535144056,1088203099,542096445,1237410966
,8121810,45261428,23637255,52614231,64013597,95732854,70280977,154947286,48728834,122524556,351534376,151958350,557080592,255265918,481824111,461102264,433575586,354714876,731474586,450667348,611338554,543827660,438135196,936360185,621514458,290917949,232239700,213740095,339396006,491195754,646566668
,3025516,57363862,19686901,18563264,60396984,74328692,101328006,96657978,144769414,135972698,237237410,139481804,156546932,47201694,276392270,344914164,296262492,150316738,609640928,266961035,303916796,580954949,362891199,183624672,239839403,184197015,486846530,1133041893,416703423,408096822,293048530
,4559067,27060890,12944624,46305077,41206086,142023891,177480049,180985750,324192997,105689570,291989168,302428944,164158375,472895882,190937398,242368278,477311454,440610861,292628438,282619795,527211911,465996391,265548534,496743048,261719834,588733036,580329942,737345514,771838935,561160655,686967574
Average (learning times),1.60484115E7,4.69305653E7,2.37535638E7,3.18106758E7,6.3990648E7,1.11700702E8,1.067618636E8,9.56665145E7,1.827764255E8,1.614090894E8,2.433419534E8,2.412461344E8,2.995649448E8,2.934673136E8,2.617665326E8,2.955664318E8,3.414371902E8,3.29855898E8,4.525997571E8,3.214816808E8,4.023994453E8,3.522739639E8,4.586613472E8,6.991244508E8,4.514865415E8,5.146871587E8,4.345910545E8,5.067704109E8,5.572201439E8,5.974597689E8,6.417991618E8
SD (total learning times),9695435.57,22795602.50,10940821.25,11652485.78,35491618.01,29906551.21,48714330.74,49439284.81,87918418.09,80870168.90,118491815.41,139067258.25,157876071.82,119651142.47,142386137.97,129472035.36,107383572.10,227888480.22,207182848.93,150221749.53,187774361.06,173888239.30,350182621.70,473258155.16,283655106.06,348761330.61,245455296.93,318211127.40,287362054.39,200175390.85,372321661.77
Speed-ups,1,0.34,0.68,0.50,0.25,0.14,0.15,0.17,0.09,0.10,0.07,0.07,0.05,0.05,0.06,0.05,0.05,0.05,0.04,0.05,0.04,0.05,0.03,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.03
Average (learning times) / numAgents,1.60484115E7,23465282.65,5938390.95,5301779.30,7998831.00,11170070.20,8896821.97,6833322.46,11423526.59,8967171.63,12167097.67,10965733.38,12481872.70,11287204.37,9348804.74,9852214.39,10669912.19,9701644.06,12572215.48,8460044.23,10059986.13,8387475.33,10424121.53,15198357.63,9405969.61,10293743.17,8357520.28,9384637.24,9950359.71,10301030.50,10696652.70
Speed-ups * numAgents,1,0.68,2.70,3.03,2.01,1.44,1.80,2.35,1.40,1.79,1.32,1.46,1.29,1.42,1.72,1.63,1.50,1.65,1.28,1.90,1.60,1.91,1.54,1.06,1.71,1.56,1.92,1.71,1.61,1.56,1.50


Stop Walk
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,178,573,803,1030,1470,232,645,1020,1291,423,2428,697,614,506,568,655,1399,787,1087,1707,622,214,1156,1178,1698,391,1094,879,866,493,1203
,556,881,607,915,718,618,808,431,622,644,1000,674,463,803,822,516,696,1357,294,781,789,1569,854,2376,804,1124,465,585,972,932,674
,534,339,1173,710,213,549,1113,1054,1166,924,1575,1435,816,833,1552,1125,852,905,863,554,481,1525,1485,569,1515,476,616,1342,719,1238,476
,773,832,1264,473,881,1663,693,477,715,812,888,677,1054,1188,1232,589,253,1306,519,1377,499,696,739,915,1111,725,841,711,460,979,587
,978,692,583,667,835,726,334,584,994,785,399,808,806,731,627,465,1056,883,1252,786,1330,787,563,991,379,611,1496,964,781,1471,1645
,588,474,609,316,1056,789,1569,812,1084,801,175,371,791,1140,585,850,709,1037,404,585,1343,755,1461,1450,825,514,763,542,1610,304,472
,877,691,761,1050,298,528,1369,584,604,1278,1148,720,1065,446,506,842,447,677,803,957,196,935,762,646,229,1075,1348,1213,786,677,859
,427,585,593,526,443,758,867,483,282,385,610,875,875,859,741,536,390,997,559,950,426,1039,1410,487,784,492,709,1231,845,552,978
,152,472,563,1030,417,694,356,746,1193,392,1272,1439,972,614,370,1777,584,782,971,789,610,344,927,719,504,814,491,584,1293,1108,777
,234,471,619,271,376,846,929,985,1016,1295,1187,607,820,1125,949,634,557,1295,1026,1058,429,624,846,1888,834,1737,1309,991,1323,962,808
Average (total episodes),529.7,601.0,757.5,698.8,670.7,740.3,868.3,717.6,896.7,773.9,1068.2,830.3,827.6,824.5,795.2,798.9,694.3,1002.6,777.8,954.4,672.5,848.8,1020.3,1121.9,868.3,795.9,913.2,904.2,965.5,871.6,847.9
SD (total episodes),288.53,172.40,256.14,298.33,396.13,368.57,399.64,239.58,324.31,331.26,637.76,345.99,185.97,262.77,362.00,397.22,338.63,242.52,319.01,355.64,382.36,442.70,333.69,617.16,466.74,414.84,373.42,294.11,342.78,361.83,359.48
Speed-ups,1,0.88,0.70,0.76,0.79,0.72,0.61,0.74,0.59,0.68,0.50,0.64,0.64,0.64,0.67,0.66,0.76,0.53,0.68,0.56,0.79,0.62,0.52,0.47,0.61,0.67,0.58,0.59,0.55,0.61,0.62
Average (total episodes) / numAgents,529.7,300.50,189.38,116.47,83.84,74.03,72.36,51.26,56.04,42.99,53.41,37.74,34.48,31.71,28.40,26.63,21.70,29.49,21.61,25.12,16.81,20.21,23.19,24.39,18.09,15.92,17.56,16.74,17.24,15.03,14.13
Speed-ups * numAgents,1,1.76,2.80,4.55,6.32,7.16,7.32,10.33,9.45,12.32,9.92,14.04,15.36,16.70,18.65,19.89,24.41,17.96,24.52,21.09,31.51,26.21,22.84,21.72,29.28,33.28,30.16,31.63,30.72,35.25,37.48

Learning Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,18166367,122103151,52465394,88760826,147250925,18358127,111321957,327885305,567888189,181343359,1493891901,358180737,326130295,295607952,371615817,473526455,1231956426,701343398,983086706,1664259495,520034690,91401912,1292507979,1387324908,1979327495,337092264,1555123252,1048845008,1087493450,709779737,1672810718
,30804103,89076101,28883602,111838742,61495434,64551289,140457530,110312387,246717266,259105886,460192478,367662254,229661888,512270439,542200189,374421185,491357080,1268614536,172095107,711902652,740858383,1664640157,899243563,3276630772,1084885064,1453356618,438631733,694579123,1451455401,1438508500,888132999
,17486640,7893568,65297387,48015320,14788195,52277398,217980972,348252949,510424440,481030084,834559457,880198412,455620573,522422182,1130860835,823134461,670794727,701629552,741388018,492384740,352119024,1746445470,1801288871,560581935,1950375719,378746746,797773804,1747691198,883059162,1744600133,485023799
,23338430,19904200,215325009,30903358,80608407,207113466,149080972,131176782,277743225,325458782,481758736,334981632,628850446,799656900,888463327,428229718,118163472,1080062014,412216502,1237774979,430047741,744737349,756828744,945227122,1323008673,917420733,1120036555,863389764,610574893,1360351540,808720775
,29296958,17548272,25476209,40288638,65327318,75740057,66828573,202147060,401955071,334448730,140093385,434418158,468640257,452819491,388537937,316874406,848595441,756386933,1044036124,688599091,1249925244,748510044,640540187,1167451603,303593961,708182786,2153213514,1529867429,1129349815,2094546424,2590554622
,10833376,11870330,27546327,13561117,89435595,99599959,428964350,271814835,434089576,333048974,64814404,182631038,454791352,762008799,330507418,619923795,539842717,848104893,398249219,490546366,1543402681,755605245,1556151464,1783933132,791153385,494971832,1046429248,574471921,2455105807,313099059,640411874
,14851848,16921371,33911698,67209122,19958177,58106332,412170661,171198254,214794482,669163889,525719738,381491752,599281050,264779373,338804576,554149243,284851663,540144190,736387222,925847837,101293993,1015077865,715484450,695160776,261514562,1424309918,1803997619,1632847734,1075991277,957387201,1312192962
,8121810,14264698,24255603,28265222,30078902,81806627,213778943,159017212,82269644,169871710,228149140,460824166,488359575,565005048,462657224,348123143,304997345,822830643,400993772,909522755,332160079,954062154,1578855978,495162761,834687039,466837563,970346076,1611071949,1107377914,670906750,1209983959
,3025516,10582750,19876419,68112343,26837498,76202937,77073548,256254537,508669786,175475389,618903097,748644705,588734108,377046314,183868316,1478640033,397199884,600846722,810551806,733456191,580047505,217170250,1093303449,822101859,419137031,967238655,547645353,748416744,1924211969,1709234973,1068389226
,4559067,10250505,23731854,14980281,24389686,101313470,236200721,346507725,422929797,594066654,545443983,288193882,482520762,786992356,669524266,413292008,352320846,1070568351,799045909,857756680,387918180,553308400,849955194,2274466181,1246286871,2246603858,1803128060,1224838736,2019232405,1477736354,1207589811
Average (learning times),1.60484115E7,3.20414946E7,5.16769502E7,5.11934969E7,5.60170137E7,8.35069662E7,2.053858227E8,2.324567046E8,3.667481476E8,3.523013457E8,5.393526319E8,4.437226736E8,4.722590306E8,5.338608854E8,5.307039905E8,5.830314447E8,5.240079601E8,8.390531232E8,6.498050385E8,8.712050786E8,6.23780752E8,8.490958846E8,1.1184159879E9,1.3408041049E9,1.01939698E9,9.394760973E8,1.2236325214E9,1.1676019606E9,1.3743852093E9,1.2476150671E9,1.1883810745E9
SD (total learning times),9695435.57,39709181.03,59268564.16,32362363.04,41748496.25,49660351.68,127288844.30,89987598.49,155105678.01,176160701.42,407685744.83,212138715.04,122650575.78,196827426.23,289622905.50,349009000.62,324009451.74,232695423.77,286808795.00,354972080.96,445862857.37,537441034.39,413983837.17,882796866.12,620879341.19,611076346.80,578068944.05,439956244.11,579225799.46,563609118.61,601904235.25
Speed-ups,1,0.50,0.31,0.31,0.29,0.19,0.08,0.07,0.04,0.05,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01
Average (learning times) / numAgents,1.60484115E7,16020747.30,12919237.55,8532249.48,7002126.71,8350696.62,17115485.22,16604050.33,22921759.23,19572296.98,26967631.60,20169212.44,19677459.61,20533110.98,18953713.95,19434381.49,16375248.75,24678033.04,18050139.96,22926449.44,15594518.80,20216568.68,25418545.18,29147915.32,21237437.08,18789521.95,23531394.64,21622258.53,24542593.02,21510604.61,19806351.24
Speed-ups * numAgents,1,1.00,1.24,1.88,2.29,1.92,0.94,0.97,0.70,0.82,0.60,0.80,0.82,0.78,0.85,0.83,0.98,0.65,0.89,0.70,1.03,0.79,0.63,0.55,0.76,0.85,0.68,0.74,0.65,0.75,0.81



