Gridworld performance test with 60 cores

Parallel Naive
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,16024,15600,17053,14147,14959,16389,16810,17072,16017,16656,16164,16493,14902,17049,15705,15620,16724,14905,13648,16614,16271,16039,15958,14343,17313,14638,14531,14874,15189,15320,22587
,17340,15575,15470,15230,17117,15952,15610,17077,16494,15695,15640,16989,15161,14634,15786,16525,16795,15629,16677,16619,17576,16607,15648,14378,17985,14029,14079,16472,14223,17758,16483
,16327,16376,16314,16173,16634,14075,16225,16966,16149,14897,15328,15685,14091,16152,16645,16430,15272,13922,17406,17609,15439,16920,15791,20118,16783,16141,14746,16856,19833,14809,16730
,16425,17763,16143,15152,17314,14954,16040,16579,15444,15380,15790,14490,16061,16552,13914,16456,18707,15931,16700,17341,16314,16695,16502,15746,17650,15737,14424,15307,13783,16055,14741
,15958,17286,16513,14515,15986,15867,15573,16393,16250,16840,16745,14765,15058,16068,15198,16599,15053,14082,15376,15359,15579,16795,15970,14675,14954,14568,16980,16200,15927,16973,15702
,16195,15118,15106,15231,15332,15571,14733,16525,14308,16646,16595,15603,17044,17444,16980,16963,16101,16103,16405,17395,17107,15048,15089,17416,15912,15680,16628,14698,16427,16679,15234
,16286,14385,15857,16885,15425,14802,15183,16822,14398,16356,16309,14663,16636,15563,16253,16787,16894,14860,16191,14490,15823,16842,21374,17124,15340,15049,14326,16575,15742,16109,16560
,16839,16941,15587,16174,16919,15758,16745,14578,16730,15523,16693,16096,15742,17111,15716,14400,16198,16356,15764,14154,14980,15864,13696,18138,16971,15879,16871,16172,17578,15516,16617
,16088,17207,17760,16452,16931,17428,16345,14527,15969,11582,16109,14663,16648,15954,14354,14699,16363,15180,16219,16570,12974,17433,16688,16875,15250,13368,14779,16618,16908,16707,15661
,15549,16675,15741,16059,13906,16946,16935,16173,16243,16231,15126,15942,17054,16432,15199,18128,13912,16769,17122,15962,15750,14812,16130,14630,16465,16565,14248,16236,15660,16329,16543
Average (total episodes),16303.1,16292.6,16154.4,15601.8,16052.3,15774.2,16019.9,16271.2,15800.2,15580.6,16049.9,15538.9,15839.7,16295.9,15575.0,16260.7,16201.9,15373.7,16150.8,16211.3,15781.3,16305.5,16284.6,16344.3,16462.3,15165.4,15161.2,16000.8,16127.0,16225.5,16685.8
SD (total episodes),494.60,1083.82,795.02,882.41,1120.80,1004.05,734.84,952.75,834.08,1542.53,566.45,865.70,1015.42,824.78,954.12,1096.45,1284.24,949.64,1063.65,1205.17,1255.47,849.62,1975.43,1927.90,1060.48,1010.06,1171.17,762.79,1730.30,864.61,2181.14
Speed-ups,1,1.00,1.01,1.04,1.02,1.03,1.02,1.00,1.03,1.05,1.02,1.05,1.03,1.00,1.05,1.00,1.01,1.06,1.01,1.01,1.03,1.00,1.00,1.00,0.99,1.08,1.08,1.02,1.01,1.00,0.98
Average (total episodes) / numAgents,16303.1,8146.30,4038.60,2600.30,2006.54,1577.42,1334.99,1162.23,987.51,865.59,802.50,706.31,659.99,626.77,556.25,542.02,506.31,452.17,448.63,426.61,394.53,388.23,370.10,355.31,342.96,303.31,291.56,296.31,287.98,279.75,278.10
Speed-ups * numAgents,1,2.00,4.04,6.27,8.12,10.34,12.21,14.03,16.51,18.83,20.32,23.08,24.70,26.01,29.31,30.08,32.20,36.06,36.34,38.22,41.32,41.99,44.05,45.88,47.54,53.75,55.92,55.02,56.61,58.28,58.62

Process Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,710556006,766471601,813977494,716134690,766108591,818898441,933472942,1086742661,1138592933,1326694303,1440187410,1594438605,1591628814,1856571493,1811145542,1979164632,2232602783,2247762976,2132760588,2443616516,2523712536,3013684831,2497526392,2741466033,2282011605,3039207552,2552285865,3316169399,3229154932,3182145896,3746542732
,609368428,631106770,1077921518,729356319,809908789,778876698,895918785,1050693278,1158861272,1291639927,1442514919,1650807800,1571250967,1695304462,1878579347,1974369914,2163212094,2328335034,2503257874,2603963750,3084438055,2574581944,2457195682,3017233296,3441322223,3258927093,2920331955,2855235749,3045158853,3360039534,3188910902
,549348864,642701810,729156351,734766015,786718514,729282584,919014060,1045469682,1167827194,1220252493,1409053605,1631099690,1585765367,1718670423,2031484309,2020715367,1867548849,2129900466,2469969108,2652681833,2697517138,2794198493,2887714528,2945498292,3352374168,3364584345,3086909209,2723117403,3034720652,3157545269,3733733626
,597506308,678570379,761550354,729720051,783824064,749763863,913806318,1038975833,1229478896,1274694127,1401135884,1404925492,1704164544,1967666695,1786099094,2074915989,2393833182,2313550535,2159295995,2583906273,2745685421,2882858425,2550460363,2532555946,2659837550,3264901826,2789828816,3372491672,2556272566,3784515849,3624312100
,553293621,673598172,756394547,716981527,780918756,831411779,902968960,1035348297,1184403483,1330192933,1496977673,1478405600,1665168779,1747090327,1834216123,2082767307,1968638335,2254855262,2414679328,2360056095,2615182705,3053217564,2931078464,2722826726,2206834381,2656623540,3292356434,3372728068,3430069089,3388504141,2130936479
,567786222,617330398,691879724,711795673,791917982,769174707,870507455,1043611689,1082040117,1310361527,1478247702,1603175369,1765288613,1939770936,1899027596,1984756531,2172124276,2173750434,2728922939,2541580840,2677547804,2632949491,2847153082,3120454923,3082400919,2888936767,3367077877,3485178364,3947904855,3062272319,3464423861
,566160063,616513259,716156285,764717946,739781007,747963262,889980811,1054578314,1125385615,1327742319,1591444923,1488818915,2063734683,1791071961,1966523852,2128003768,2494430889,2370389839,2536397048,2303575042,2460135583,2845604723,3152737567,2621835796,3144016377,3293815603,2676278693,3445499792,3505232120,3314385120,2988022847
,585530727,671109666,696927731,739389060,782916760,764886946,925737203,978604378,1207893473,1303807554,1370998550,1563171349,1623544632,1915304760,1922523144,1992877340,2285888980,2333667642,2301321644,2162877348,2624998440,2589229310,2710397008,2901048016,3151797372,2754304014,3094068566,2776888845,3856277970,3590249082,3170146985
,577116555,681815363,752527061,753930690,780768384,818401411,924147912,976482847,1142750544,1067649720,1451833762,1445511178,1765438543,1896568734,1745166999,1832096998,2167205010,2292119477,2258002318,2729864704,2558927151,2729318717,2627442193,2935811356,3348859705,2650094936,2240258182,2837876109,2990719327,2896114856,3103345915
,561458602,669321575,703073534,732021686,708087965,809346951,950264004,1027816034,1199388478,1324341752,1411791639,1556292308,1765900435,1780583515,1909018791,2181414700,2017773204,2282435291,2410788329,2340721567,2732281353,2744478613,2697365130,2811654133,2765607477,3142180065,2831748349,3497754923,3602119862,2898680608,3439166415
Average (process times),5.878125396E8,6.648538993E8,7.699564599E8,7.328813657E8,7.730950812E8,7.818006642E8,9.12581845E8,1.0338323013E9,1.1636622005E9,1.2777376655E9,1.4494186067E9,1.5416646306E9,1.7101885377E9,1.8308603306E9,1.8783784797E9,2.0251082546E9,2.1763257602E9,2.2726766956E9,2.3915395171E9,2.4722843968E9,2.6720426186E9,2.7860122111E9,2.7359070409E9,2.8350384517E9,2.9435061777E9,3.0313575741E9,2.8851143946E9,3.1682940324E9,3.3197630226E9,3.2634452674E9,3.2589541862E9
SD (total process times),47116425.56,43668488.37,114406830.56,16678546.62,29081071.07,35464275.83,23231251.16,33581234.59,43752122.14,81109456.24,62297862.97,82928004.62,146286890.64,97055125.25,86446112.51,97439154.82,190776344.70,74251285.92,182946401.72,179013695.17,171577303.70,166006911.05,218595886.99,182640045.04,444042401.02,275162074.45,344143403.26,324845606.26,430084734.49,285221194.39,477746236.61
Speed-ups,1,0.88,0.76,0.80,0.76,0.75,0.64,0.57,0.51,0.46,0.41,0.38,0.34,0.32,0.31,0.29,0.27,0.26,0.25,0.24,0.22,0.21,0.21,0.21,0.20,0.19,0.20,0.19,0.18,0.18,0.18
Average (process times) / numAgents,5.878125396E8,332426949.65,192489114.98,122146894.28,96636885.15,78180066.42,76048487.08,73845164.38,72728887.53,70985425.86,72470930.34,70075665.03,71257855.74,70417705.02,67084945.70,67503608.49,68010180.01,66843432.22,66431653.25,65060115.71,66801065.46,66333624.07,62179705.48,61631270.69,61323045.37,60627151.48,55482969.13,58672111.71,59281482.55,56266297.71,54315903.10
Speed-ups * numAgents,1,1.77,3.05,4.81,6.08,7.52,7.73,7.96,8.08,8.28,8.11,8.39,8.25,8.35,8.76,8.71,8.64,8.79,8.85,9.03,8.80,8.86,9.45,9.54,9.59,9.70,10.59,10.02,9.92,10.45,10.82


Stop Walk
Episodes
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,16024,16521,16316,16302,15756,16434,15121,15104,14260,16169,15488,18542,15832,15839,14695,16781,15882,15915,15075,14939,15670,13938,15058,15411,16045,16133,15883,16014,15327,15166,16529
,17340,17117,15777,14808,16467,14717,15533,15245,16574,16760,15531,16547,16768,15288,15521,17258,16836,14708,16530,16174,14456,16111,15243,16060,16392,13961,14356,16875,13881,15249,16512
,16327,16054,16548,15885,16583,15370,16150,15976,16476,16769,14541,15181,15403,16346,13902,16389,15282,15289,15882,14497,15951,16529,14900,15287,16796,16854,14434,14912,15682,12930,15795
,16425,15279,16028,15843,15419,16418,16882,15947,15964,17150,14833,15719,14672,18016,15598,16319,14236,16646,16952,16024,15455,17538,13871,17184,14674,15720,16442,14590,16421,17257,14562
,15958,13421,15710,16648,16381,15261,16527,15105,13827,15778,14605,17077,15076,15943,16489,14435,14435,15915,16185,16582,15731,16756,16015,14983,16017,16062,14389,16664,15254,16704,15092
,16195,16761,15822,15269,15546,17479,15706,15594,15091,16356,15992,16973,15303,16274,15860,14693,15319,16763,15427,14576,16674,12604,13798,15253,14645,16209,15621,16030,12806,16163,14831
,16286,16970,15629,16489,16715,16666,13104,16301,13778,16138,15706,16170,15391,16200,14770,14031,16409,17527,16100,15402,15809,15214,15013,16845,16767,14890,15888,14835,15277,15542,13276
,16839,15327,15346,14606,14942,17325,17023,14699,14752,16251,14078,15437,16392,15528,15756,14776,15038,13954,16996,15389,15280,16303,14604,16368,17085,16805,17348,16270,16750,16289,14835
,16088,15769,15393,16275,17811,16420,13926,14899,15115,17593,16591,15257,16214,15711,14159,16221,16235,15200,16454,14227,14805,15061,15977,15886,16112,16682,16019,15072,15827,14785,16338
,15549,16704,14887,16242,15570,15994,16515,13279,15240,17276,16194,16477,16320,17572,15175,16583,15116,16689,16140,13236,15873,16333,15842,15870,14892,16070,16414,15709,15233,14617,15329
Average (total episodes),16303.1,15992.3,15745.6,15836.7,16119.0,16208.4,15648.7,15214.9,15107.7,16624.0,15355.9,16338.0,15737.1,16271.7,15192.5,15748.6,15478.8,15860.6,16174.1,15104.6,15570.4,15638.7,15032.1,15914.7,15942.5,15938.6,15679.4,15697.1,15245.8,15470.2,15309.9
SD (total episodes),494.60,1116.27,482.11,711.34,834.00,887.00,1287.60,854.89,1001.49,582.16,812.24,1032.81,671.58,873.97,808.03,1141.88,847.61,1086.63,609.55,1015.37,621.14,1468.58,791.08,719.54,904.10,903.26,1004.25,805.40,1154.45,1232.07,1023.20
Speed-ups,1,1.02,1.04,1.03,1.01,1.01,1.04,1.07,1.08,0.98,1.06,1.00,1.04,1.00,1.07,1.04,1.05,1.03,1.01,1.08,1.05,1.04,1.08,1.02,1.02,1.02,1.04,1.04,1.07,1.05,1.06
Average (total episodes) / numAgents,16303.1,7996.15,3936.40,2639.45,2014.88,1620.84,1304.06,1086.78,944.23,923.56,767.80,742.64,655.71,625.83,542.59,524.95,483.71,466.49,449.28,397.49,389.26,372.35,341.64,345.97,332.14,318.77,301.53,290.69,272.25,266.73,255.17
Speed-ups * numAgents,1,2.04,4.14,6.18,8.09,10.06,12.50,15.00,17.27,17.65,21.23,21.95,24.86,26.05,30.05,31.06,33.70,34.95,36.29,41.02,41.88,43.78,47.72,47.12,49.09,51.14,54.07,56.08,59.88,61.12,63.89

Process Times
Number of agents,1,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60
,710556006,1062783590,1116496819,1112298808,1215765843,1255953513,1375658412,1518291323,1636818975,2044469056,2146670936,3124901222,3237274272,3454417543,3542297548,4025790424,4450083109,4767068694,4862983486,4889903082,5704267011,5345614959,5683154408,6615294921,7491771494,6841644896,7442453384,8119172748,7837673302,7730871626,9070099907
,609368428,927897220,1031043976,1075085231,1221642954,1196429558,1397852666,1586875694,1796519502,2082653831,2215544259,2732628284,3315780755,3300799850,3546630749,4228714323,4635759855,4370675899,5201948448,5205706250,5133195104,6379226817,6171539456,6339483045,7106001775,6632755690,7341756133,8146892587,7468102466,7869610892,8731094702
,549348864,885669219,1056506827,1105592951,1174089344,1200658801,1534677513,1599452352,1831190908,2100919033,2090553020,2604979636,2939519154,3419621154,3337784241,4050565091,4483759405,4464643549,5230875386,5089728157,5422770642,5991021776,5674075259,6276416004,6896851192,7254160367,7411756832,7324053582,7863939574,7013770226,8445472173
,597506308,864091504,1053552638,1112492667,1147247292,1270373156,1574570523,1629184225,1758601054,2088268544,2121930507,2819886582,3032112639,3625070153,3595986534,4038833136,3989359270,5120447067,5113986207,5044523898,5497418099,6108841463,5507350945,6784807366,6492097056,6986638253,7574627599,7249720294,8308843059,8915631635,8555151044
,553293621,806097872,1030243968,1158709691,1168996539,1200771168,1452268151,1546801199,1665160436,1994146621,2107697778,2948644743,3116747389,3533135655,3820987750,3935583040,3992806758,4792218488,5052889426,5517727015,5586656550,5974361864,6317644835,6445881053,6714623431,7155447797,7123768247,8347902943,7823237479,9151342431,8705507869
,567786222,916906272,1033703825,1073771730,1130423466,1358558520,1435840652,1590872722,1747256038,2057925173,2247050346,2890446777,3131427858,3368376081,3920626773,3841414825,4364201121,5016371230,4801424602,5162443179,6094633321,4978232196,5785827130,6656999707,6514253749,6803551810,7085023929,7709731984,6846063259,8587592665,8233897149
